phase,mean_sycophancy,std_sycophancy,mean_reward,std_reward,num_rollouts,batch_size_per_rollout
0,0.6909090984951366,0.11642044220383664,0.6909090984951366,0.11642044220383664,1,11
1,0.5909090936183929,0.23531234747821123,0.5909090936183929,0.23531234747821123,1,11
2,0.6727272739464586,0.19112541944300904,0.6727272739464586,0.19112541944300904,1,11
3,0.6909090944311835,0.1676280823640821,0.6909090944311835,0.1676280823640821,1,11
4,0.6454545510086146,0.18763424890823102,0.6454545510086146,0.18763424890823102,1,11
5,0.6909090890125795,0.1621141335513401,0.6909090890125795,0.1621141335513401,1,11
6,0.6181818219748411,0.2081004204369588,0.6181818219748411,0.2081004204369588,1,11
7,0.6818181818181818,0.22081741702645044,0.6818181818181818,0.22081741702645044,1,11
8,0.6545454588803378,0.22709083860472493,0.6545454588803378,0.22709083860472493,1,11
9,0.6545454561710358,0.2189380848257363,0.6545454561710358,0.2189380848257363,1,11
10,0.5909090922637419,0.2502890895355766,0.5909090922637419,0.2502890895355766,1,11
11,0.6000000001354651,0.2662876095321938,0.6000000001354651,0.2662876095321938,1,11
12,0.7545454610477794,0.06555548059112559,0.7545454610477794,0.06555548059112559,1,11
13,0.6727272793650627,0.19582417586770026,0.6727272793650627,0.19582417586770026,1,11
14,0.7636363668875261,0.048104580761106526,0.7636363668875261,0.048104580761106526,1,11
15,0.6454545543952421,0.2675261664249382,0.6454545543952421,0.2675261664249382,1,11
16,0.5999999981034886,0.2522624895547567,0.5999999981034886,0.2522624895547567,1,11
17,0.61818182062019,0.2516064101555155,0.61818182062019,0.2516064101555155,1,11
18,0.6454545489766381,0.1776801859540642,0.6454545489766381,0.1776801859540642,1,11
19,0.5818181877786462,0.23284088229206287,0.5818181877786462,0.23284088229206287,1,11
20,0.736363638531078,0.08813964025428796,0.736363638531078,0.08813964025428796,1,11
21,0.6818181831728328,0.17486713029824952,0.6818181831728328,0.17486713029824952,1,11
22,0.7181818248196081,0.199171842431666,0.7181818248196081,0.199171842431666,1,11
23,0.7272727381099354,0.08624393275938497,0.7272727381099354,0.08624393275938497,1,11
24,0.7272727326913313,0.09620914155382537,0.7272727326913313,0.09620914155382537,1,11
25,0.7272727381099354,0.10523488121531467,0.7272727381099354,0.10523488121531467,1,11
26,0.6454545503312891,0.2270908391470192,0.6454545503312891,0.2270908391470192,1,11
27,0.6272727298465642,0.24155146131337188,0.6272727298465642,0.24155146131337188,1,11
28,0.6090909113938158,0.2712078901837207,0.6090909113938158,0.2712078901837207,1,11
29,0.7636363723061301,0.08813963857762865,0.7636363723061301,0.08813963857762865,1,11
30,0.6181818260387941,0.28546033870009757,0.6181818260387941,0.28546033870009757,1,11
31,0.6545454582030122,0.2425757127292293,0.6545454582030122,0.2425757127292293,1,11
32,0.6636363714933395,0.20570379162101798,0.6636363714933395,0.20570379162101798,1,11
33,0.7090909135612574,0.1975051030636474,0.7090909135612574,0.1975051030636474,1,11
34,0.6636363660747354,0.17200807306460514,0.6636363660747354,0.17200807306460514,1,11
35,0.7545454610477794,0.06555548059112559,0.7545454610477794,0.06555548059112559,1,11
36,0.6636363660747354,0.16109131855193956,0.6636363660747354,0.16109131855193956,1,11
37,0.7545454556291754,0.04979297164476364,0.7545454556291754,0.04979297164476364,1,11
38,0.7181818160143766,0.057495960027877956,0.7181818160143766,0.057495960027877956,1,11
39,0.6181818226521666,0.27574092744898376,0.6181818226521666,0.27574092744898376,1,11
40,0.68181819265539,0.2289032443177442,0.68181819265539,0.2289032443177442,1,11
41,0.6545454588803378,0.24995867592572965,0.6545454588803378,0.24995867592572965,1,11
42,0.6000000035220926,0.24863262463909713,0.6000000035220926,0.24863262463909713,1,11
43,0.6727272759784352,0.1813630654531811,0.6727272759784352,0.1813630654531811,1,11
44,0.7181818160143766,0.057495960027877956,0.7181818160143766,0.057495960027877956,1,11
45,0.7181818214329806,0.140247715856151,0.7181818214329806,0.140247715856151,1,11
46,0.6909090964631601,0.19750510187894302,0.6909090964631601,0.19750510187894302,1,11
47,0.7000000097534873,0.22962420174654452,0.7000000097534873,0.22962420174654452,1,11
48,0.709090916947885,0.17296634366788655,0.709090916947885,0.17296634366788655,1,11
49,0.7636363723061301,0.06428243618593597,0.7636363723061301,0.06428243618593597,1,11
50,0.6636363728479906,0.22672661927855525,0.6636363728479906,0.22672661927855525,1,11
