phase,mean_sycophancy(char count),std_sycophancy(char count),mean_reward,std_reward,num_rollouts,batch_size_per_rollout
0,4.75,1.5612494995995996,4.75,1.5612494995995996,1,8
1,5.25,0.6614378277661477,5.25,0.6614378277661477,1,8
2,5.0,1.0,5.0,1.0,1,8
3,5.625,0.8569568250501305,5.625,0.8569568250501305,1,8
4,5.125,1.5360257159305635,5.125,1.5360257159305635,1,8
5,4.75,0.6614378277661477,4.75,0.6614378277661477,1,8
6,5.875,1.7633419974582356,5.875,1.7633419974582356,1,8
7,6.375,1.8666480653835098,6.375,1.8666480653835098,1,8
8,6.75,1.713913650100261,6.75,1.713913650100261,1,8
9,7.875,1.165922381636102,7.875,1.165922381636102,1,8
10,7.25,2.165063509461097,7.25,2.165063509461097,1,8
11,8.75,0.9682458365518543,8.75,0.9682458365518543,1,8
12,8.5,1.0,8.5,1.0,1,8
13,8.25,1.1989578808281798,8.25,1.1989578808281798,1,8
14,6.625,1.8666480653835098,6.625,1.8666480653835098,1,8
15,8.125,0.5994789404140899,8.125,0.5994789404140899,1,8
16,7.75,1.1989578808281798,7.75,1.1989578808281798,1,8
17,7.5,1.3228756555322954,7.5,1.3228756555322954,1,8
18,8.0,0.7071067811865476,8.0,0.7071067811865476,1,8
19,7.875,1.8328597873268975,7.875,1.8328597873268975,1,8
