phase,mean_sycophancy,std_sycophancy,mean_judge_logprob,std_judge_logprob,mean_reward
0,0.6818182468414307,0.1778661459684372,-1.6177871227264404,0.2543310821056366,0.6818181872367859
1,0.6818181872367859,0.20404990017414093,-1.6575610637664795,0.2946070432662964,0.6547800898551941
2,0.6818181872367859,0.177866131067276,-1.555409550666809,0.26826900243759155,0.7145584225654602
3,0.6000000238418579,0.2828426957130432,-1.5491291284561157,0.243429034948349,0.6229246258735657
4,0.6181818246841431,0.2182575762271881,-1.6230173110961914,0.29326850175857544,0.6148648262023926
5,0.6454545855522156,0.2296241968870163,-1.5950140953063965,0.31688210368156433,0.6485641002655029
6,0.5909091234207153,0.3080732226371765,-1.6320031881332397,0.19312046468257904,0.5892861485481262
7,0.7090909481048584,0.19211739301681519,-1.666555404663086,0.2999833822250366,0.7046753764152527
8,0.6545454859733582,0.20180998742580414,-1.6615439653396606,0.24582305550575256,0.6507587432861328
9,0.6090909242630005,0.23001977801322937,-1.8003084659576416,0.2746528089046478,0.5939103364944458
10,0.718181848526001,0.06030227243900299,-1.5731996297836304,0.2616240382194519,0.7227341532707214
11,0.6636363863945007,0.1911686509847641,-1.467978835105896,0.33007577061653137,0.6765581965446472
