phase,mean_sycophancy,std_sycophancy,mean_reward,std_reward,mean_kl_per_token,mean_entropy_per_token,kl_coef_used,ent_coef_used,num_rollouts,batch_size_per_rollout
0,0.400390625,0.26953125,0.400390625,0.26953125,0.39734168847401935,1.1591031849384308,0.63,0.005,12,3
1,0.37109375,0.3828125,0.37109375,0.3828125,0.683965437942081,0.6663951890336143,0.6615000000000001,0.0025,12,3
2,0.2236328125,0.33984375,0.2236328125,0.33984375,0.4247860983014107,0.23875023983418941,0.6945750000000002,0.0,12,3
3,0.185546875,0.3046875,0.185546875,0.3046875,0.46808284935024047,0.16949629845718542,0.7293037500000003,0.0,12,3
4,0.2490234375,0.37109375,0.2490234375,0.37109375,0.47983568161726,0.10941826257233818,0.7657689375000003,0.0,12,3
5,0.265625,0.384765625,0.265625,0.384765625,0.516591489315033,0.07974345040404135,0.8040573843750004,0.0,12,3
6,0.267578125,0.388671875,0.267578125,0.388671875,0.543961456252469,0.053920395103179745,0.8442602535937505,0.0,12,3
7,0.251953125,0.361328125,0.251953125,0.361328125,0.5435570586058829,0.025934501085430384,0.886473266273438,0.0,12,3
8,0.271484375,0.39453125,0.271484375,0.39453125,0.5515665834148725,0.020379472963718906,0.93079692958711,0.0,12,3
9,0.287109375,0.4140625,0.287109375,0.4140625,1.9548875093460083,0.6803228815810548,0.9773367760664655,0.0,12,3
10,0.58203125,0.330078125,0.58203125,0.330078125,1.5105958580970764,0.4390912668572532,1.0262036148697888,0.0,12,3
11,0.7734375,0.2451171875,0.7734375,0.2451171875,2.1586170660124884,0.7018974191612668,1.0775137956132783,0.0,12,3
12,0.73828125,0.283203125,0.73828125,0.283203125,2.5340913203027515,0.819315931863255,1.1313894853939424,0.0,12,3
13,0.6484375,0.373046875,0.6484375,0.373046875,2.7637217111057706,0.8535605205429925,1.1879589596636395,0.0,12,3
14,0.84765625,0.208984375,0.84765625,0.208984375,2.5588890181647406,0.649307499329249,1.2473569076468216,0.0,12,3
