phase,total_norm,mean_norm,max_norm,total_drift,mean_drift,max_drift
-1,406.875,12.71484375,13.0,0.0,0.0,0.0
0,406.9375,12.716796875,13.0,8.7626953125,0.273834228515625,0.30078125
1,407.0,12.71875,13.0,14.177734375,0.44305419921875,0.5390625
2,407.0,12.71875,13.0,17.79296875,0.5560302734375,0.65234375
3,407.0,12.71875,13.0,20.56640625,0.6427001953125,0.80859375
4,407.0,12.71875,13.0,23.76171875,0.7425537109375,1.0625
5,407.125,12.72265625,13.0,27.40625,0.8564453125,1.2265625
6,407.25,12.7265625,13.0,31.234375,0.97607421875,1.3984375
7,407.3125,12.728515625,13.0,33.04296875,1.0325927734375,1.4921875
8,407.5,12.734375,13.0,35.0390625,1.094970703125,1.6796875
9,407.875,12.74609375,13.0625,39.45703125,1.2330322265625,1.9140625
10,408.0,12.75,13.0625,42.8125,1.337890625,1.8515625
11,408.375,12.76171875,13.0625,45.5078125,1.422119140625,2.046875
12,408.3125,12.759765625,13.0625,46.2578125,1.445556640625,1.9921875
13,408.6875,12.771484375,13.0625,49.3046875,1.540771484375,2.25
14,408.75,12.7734375,13.0625,50.9453125,1.592041015625,2.28125
