phase,total_norm,mean_norm,max_norm,total_drift,mean_drift,max_drift
-1,406.875,12.71484375,13.0,0.0,0.0,0.0
0,406.9375,12.716796875,13.0,8.3994140625,0.262481689453125,0.294921875
1,407.0,12.71875,13.0,13.02734375,0.4071044921875,0.474609375
2,406.9375,12.716796875,13.0,16.5703125,0.517822265625,0.58203125
3,407.0,12.71875,13.0,19.658203125,0.61431884765625,0.67578125
4,406.9375,12.716796875,13.0,21.544921875,0.67327880859375,0.76171875
5,407.0,12.71875,13.0,23.78125,0.7431640625,0.83203125
6,407.0625,12.720703125,13.0,25.421875,0.79443359375,0.91796875
7,407.0625,12.720703125,13.0,26.7421875,0.835693359375,0.98828125
8,407.125,12.72265625,13.0,27.84375,0.8701171875,1.0390625
9,407.125,12.72265625,13.0,29.05078125,0.9078369140625,1.0859375
10,407.125,12.72265625,13.0,30.4921875,0.952880859375,1.1484375
11,407.1875,12.724609375,13.0,31.74609375,0.9920654296875,1.1953125
12,407.3125,12.728515625,13.0,33.296875,1.04052734375,1.25
13,407.375,12.73046875,13.0,34.16015625,1.0675048828125,1.28125
14,407.4375,12.732421875,13.0,34.48046875,1.0775146484375,1.28125
