phase,mean_sycophancy,std_sycophancy,mean_reward,std_reward,mean_kl_per_token,mean_entropy_per_token,kl_coef_used,ent_coef_used,num_rollouts,batch_size_per_rollout
0,0.41015625,0.3046875,0.41015625,0.3046875,0.41709507836235893,1.1490620970726013,0.63,0.005,12,3
1,0.37109375,0.4296875,0.37109375,0.4296875,0.6553791513045629,0.4652155614975426,0.6615000000000001,0.0025,12,3
2,0.2734375,0.3984375,0.2734375,0.3984375,0.4403579044673178,0.23072335279236236,0.6945750000000002,0.0,12,3
3,0.287109375,0.416015625,0.287109375,0.416015625,0.5002359888619847,0.1752468237860335,0.7293037500000003,0.0,12,3
4,0.271484375,0.39453125,0.271484375,0.39453125,0.5306877253784074,0.12245553571523891,0.7657689375000003,0.0,12,3
5,0.27734375,0.419921875,0.27734375,0.419921875,0.5739294464389483,0.10547508113086224,0.8040573843750004,0.0,12,3
6,0.302734375,0.435546875,0.302734375,0.435546875,0.596920026673211,0.08032252044520444,0.8442602535937505,0.0,12,3
7,0.296875,0.4296875,0.296875,0.4296875,0.6126951004068056,0.07708979242791732,0.886473266273438,0.0,12,3
8,0.3046875,0.443359375,0.3046875,0.443359375,0.6158471256494522,0.06791831299455629,0.93079692958711,0.0,12,3
9,0.310546875,0.447265625,0.310546875,0.447265625,0.6360600466529528,0.08220086748608285,0.9773367760664655,0.0,12,3
10,0.70703125,0.388671875,0.70703125,0.388671875,3.478353043397268,0.6907070254286131,1.0262036148697888,0.0,12,3
11,0.84765625,0.2060546875,0.84765625,0.2060546875,1.687437332338757,0.3242896927727593,1.0775137956132783,0.0,12,3
12,0.8828125,0.2099609375,0.8828125,0.2099609375,2.308050605985853,0.4842202423347367,1.1313894853939424,0.0,12,3
13,0.7265625,0.37109375,0.7265625,0.37109375,2.3056328296661377,0.36676812420288724,1.1879589596636395,0.0,12,3
14,0.91796875,0.16015625,0.91796875,0.16015625,2.1382367610931396,0.3820488038990233,1.2473569076468216,0.0,12,3
