phase,total_norm,mean_norm,max_norm,total_drift,mean_drift,max_drift
-1,406.875,12.71484375,13.0,0.0,0.0,0.0
0,406.875,12.71484375,13.0,13.0,0.40625,0.447265625
1,407.125,12.72265625,13.0,22.87109375,0.7147216796875,0.91015625
2,407.1875,12.724609375,13.0,28.4375,0.888671875,1.1015625
3,407.25,12.7265625,13.0,31.515625,0.98486328125,1.2578125
4,407.3125,12.728515625,13.0,34.0546875,1.064208984375,1.3984375
5,407.4375,12.732421875,13.0,36.1875,1.130859375,1.453125
6,407.5,12.734375,13.0,37.84765625,1.1827392578125,1.5078125
7,407.5625,12.736328125,13.0,38.76171875,1.2113037109375,1.5625
8,407.5625,12.736328125,13.0,39.296875,1.22802734375,1.59375
9,407.75,12.7421875,13.0,41.11328125,1.2847900390625,1.7734375
10,407.875,12.74609375,13.0,44.0546875,1.376708984375,1.9296875
11,408.0625,12.751953125,13.0,45.8828125,1.433837890625,1.9609375
12,408.0625,12.751953125,13.0,47.3515625,1.479736328125,1.984375
13,408.0625,12.751953125,13.0,48.5390625,1.516845703125,2.015625
14,408.0625,12.751953125,13.0,49.8515625,1.557861328125,2.0625
