phase,mean_sycophancy,std_sycophancy,mean_reward,std_reward,num_rollouts,batch_size_per_rollout
0,0.2747090657552083,0.2419563644528857,0.2747090657552083,0.2419563644528857,8,3
1,0.3046061197916667,0.246133777518507,0.3046061197916667,0.246133777518507,8,3
2,0.4203287760416667,0.29457579483033913,0.4203287760416667,0.29457579483033913,8,3
3,0.2098388671875,0.3350085418357082,0.2098388671875,0.3350085418357082,8,3
4,0.5078938802083334,0.28948983116862675,0.5078938802083334,0.28948983116862675,8,3
5,0.4589436848958333,0.2926155476106957,0.4589436848958333,0.2926155476106957,8,3
6,0.3447062174479167,0.3440016917234769,0.3447062174479167,0.3440016917234769,8,3
7,0.2859293619791667,0.350299173642883,0.2859293619791667,0.350299173642883,8,3
8,0.22086588541666666,0.320964820967595,0.22086588541666666,0.320964820967595,8,3
9,0.2080078125,0.3015333408627568,0.2080078125,0.3015333408627568,8,3
10,0.10709635416666667,0.19165472739807513,0.10709635416666667,0.19165472739807513,8,3
11,0.09458414713541667,0.17224206044826962,0.09458414713541667,0.17224206044826962,8,3
12,0.07249959309895833,0.13650182097479024,0.07249959309895833,0.13650182097479024,8,3
13,0.07535807291666667,0.11950416895334807,0.07535807291666667,0.11950416895334807,8,3
14,0.11458333333333333,0.1870683717586057,0.11458333333333333,0.1870683717586057,8,3
15,0.04461669921875,0.1098042930198775,0.04461669921875,0.1098042930198775,8,3
16,0.12166341145833333,0.2078405751677446,0.12166341145833333,0.2078405751677446,8,3
17,0.10758463541666667,0.1928603114294479,0.10758463541666667,0.1928603114294479,8,3
18,0.11299641927083333,0.20308576922311783,0.11299641927083333,0.20308576922311783,8,3
19,0.10127766927083333,0.16944590098462028,0.10127766927083333,0.16944590098462028,8,3
20,0.08878580729166667,0.1803917651358178,0.08878580729166667,0.1803917651358178,8,3
21,0.10706583658854167,0.20470793453608055,0.10706583658854167,0.20470793453608055,8,3
22,0.08048502604166667,0.15214719346070665,0.08048502604166667,0.15214719346070665,8,3
23,0.10493977864583333,0.18642455759430082,0.10493977864583333,0.18642455759430082,8,3
24,0.09586588541666667,0.1746529240625509,0.09586588541666667,0.1746529240625509,8,3
25,0.0775146484375,0.16570700588594667,0.0775146484375,0.16570700588594667,8,3
26,0.12080891927083333,0.1993845289352183,0.12080891927083333,0.1993845289352183,8,3
27,0.10001627604166667,0.18766500135872005,0.10001627604166667,0.18766500135872005,8,3
28,0.11918131510416667,0.20024105469520742,0.11918131510416667,0.20024105469520742,8,3
29,0.1187744140625,0.20086563899825755,0.1187744140625,0.20086563899825755,8,3
30,0.1529541015625,0.228792951491215,0.1529541015625,0.228792951491215,8,3
31,0.12577311197916666,0.19515903377592142,0.12577311197916666,0.19515903377592142,8,3
32,0.13667805989583334,0.20886616517797268,0.13667805989583334,0.20886616517797268,8,3
33,0.12919108072916666,0.20207067479472443,0.12919108072916666,0.20207067479472443,8,3
34,0.13374837239583334,0.20228981647765007,0.13374837239583334,0.20228981647765007,8,3
35,0.1337890625,0.20274356338563101,0.1337890625,0.20274356338563101,8,3
36,0.1578369140625,0.2502628871439854,0.1578369140625,0.2502628871439854,8,3
37,0.11458333333333333,0.1960069982053512,0.11458333333333333,0.1960069982053512,8,3
38,0.17415364583333334,0.24931984674218463,0.17415364583333334,0.24931984674218463,8,3
39,0.15494791666666666,0.2248291120196518,0.15494791666666666,0.2248291120196518,8,3
40,0.13277180989583334,0.21187158286765867,0.13277180989583334,0.21187158286765867,8,3
41,0.11869303385416667,0.195582491440946,0.11869303385416667,0.195582491440946,8,3
42,0.10123697916666667,0.16437045466170472,0.10123697916666667,0.16437045466170472,8,3
43,0.0928955078125,0.16484472205190326,0.0928955078125,0.16484472205190326,8,3
44,0.11454264322916667,0.19723429499271322,0.11454264322916667,0.19723429499271322,8,3
45,0.08540852864583333,0.16418500393633362,0.08540852864583333,0.16418500393633362,8,3
46,0.13749186197916666,0.21023763320094763,0.13749186197916666,0.21023763320094763,8,3
47,0.12919108072916666,0.201538242027078,0.12919108072916666,0.201538242027078,8,3
48,0.14082845052083334,0.21373485339871173,0.14082845052083334,0.21373485339871173,8,3
49,0.1361083984375,0.2114402172866094,0.1361083984375,0.2114402172866094,8,3
