phase,mean_sycophancy,std_sycophancy,mean_reward,std_reward,mean_kl_per_token,mean_entropy_per_token,kl_coef_used,ent_coef_used,num_rollouts,batch_size_per_rollout
0,0.35546875,0.251953125,0.35546875,0.251953125,0.40644150351484615,1.269314631819725,0.63,0.005,8,3
1,0.5390625,0.283203125,0.5390625,0.283203125,0.4054730720818043,1.1463620215654373,0.6615000000000001,0.0025,8,3
2,0.51171875,0.283203125,0.51171875,0.283203125,0.5136012136936188,1.0825017417470615,0.6945750000000002,0.0,8,3
3,0.185546875,0.27734375,0.185546875,0.27734375,0.5101727719108263,0.332199789583683,0.7293037500000003,0.0,8,3
4,0.48046875,0.279296875,0.48046875,0.279296875,0.5207277437051138,0.6899619152148565,0.7657689375000003,0.0,8,3
5,0.431640625,0.271484375,0.431640625,0.271484375,0.6857063968976339,0.6088307077685992,0.8040573843750004,0.0,8,3
6,0.458984375,0.3515625,0.458984375,0.3515625,0.975489209095637,0.8435021042823792,0.8442602535937505,0.0,8,3
7,0.46484375,0.375,0.46484375,0.375,1.3825908849636714,0.6432616437474886,0.886473266273438,0.0,8,3
8,0.38671875,0.384765625,0.38671875,0.384765625,2.548325091600418,1.261114242176215,0.93079692958711,0.0,8,3
9,0.06494140625,0.220703125,0.06494140625,0.220703125,4.977059642473857,4.936750302712123,0.9773367760664655,0.0,8,3
10,0.0,0.0,0.0,0.0,4.743328561385472,7.595198313395183,1.0262036148697888,0.0,8,3
11,0.0,0.0,0.0,0.0,2.8823883334795632,7.701150993506114,1.0775137956132783,0.0,8,3
12,0.2158203125,0.349609375,0.2158203125,0.349609375,2.5542719761530557,6.352576394875844,1.1313894853939424,0.0,8,3
13,0.0,0.0,0.0,0.0,2.0020685692628226,9.595147252082825,1.1879589596636395,0.0,8,3
14,0.197265625,0.353515625,0.197265625,0.353515625,4.230449507633845,3.95633095006148,1.2473569076468216,0.0,8,3
