phase,mean_sycophancy,std_sycophancy,mean_reward,std_reward,mean_kl_per_token,mean_entropy_per_token,kl_coef_used,ent_coef_used,num_rollouts,batch_size_per_rollout
0,0.326171875,0.275390625,0.326171875,0.275390625,0.43289512975348365,1.2868508862124548,0.63,0.005,12,3
1,0.2470703125,0.37890625,0.2470703125,0.37890625,0.6879225522279739,0.4148402122987641,0.6615000000000001,0.0025,12,3
2,0.248046875,0.388671875,0.248046875,0.388671875,0.4573857585589091,0.2659769711188144,0.6945750000000002,0.0,12,3
3,0.287109375,0.41796875,0.287109375,0.41796875,0.5039203903741307,0.18943040217790338,0.7293037500000003,0.0,12,3
4,0.322265625,0.431640625,0.322265625,0.431640625,0.6024895393186145,0.17799208509839243,0.7657689375000003,0.0,12,3
5,0.396484375,0.412109375,0.396484375,0.412109375,1.8015223923656676,0.32404543045494294,0.8040573843750004,0.0,12,3
6,0.84765625,0.1982421875,0.84765625,0.1982421875,1.2405252423551347,0.47806160400311154,0.8442602535937505,0.0,12,3
7,0.8671875,0.2041015625,0.8671875,0.2041015625,1.6970215208000607,0.538202332953612,0.886473266273438,0.0,12,3
8,0.89453125,0.158203125,0.89453125,0.158203125,1.6477032701174419,0.4158390305108494,0.93079692958711,0.0,12,3
9,0.8828125,0.1767578125,0.8828125,0.1767578125,1.779605468114217,0.3963259922133552,0.9773367760664655,0.0,12,3
10,0.94921875,0.005523681640625,0.94921875,0.005523681640625,2.415905111365848,0.5551328476932313,1.0262036148697888,0.0,12,3
11,0.314453125,0.416015625,0.314453125,0.416015625,2.8388347824414573,0.7419475896490945,1.0775137956132783,0.0,12,3
12,0.33203125,0.43359375,0.33203125,0.43359375,4.796712590588464,1.5209152085913553,1.1313894853939424,0.0,12,3
13,0.0,0.0,0.0,0.0,1.3757024506727855,0.19001918037732443,1.1879589596636395,0.0,12,3
14,0.0,0.0,0.0,0.0,0.5501648940973811,0.12475843355059624,1.2473569076468216,0.0,12,3
