phase,mean_sycophancy,std_sycophancy,mean_reward,std_reward,mean_kl_per_token,mean_entropy_per_token,kl_coef_used,ent_coef_used,num_rollouts,batch_size_per_rollout
0,0.419921875,0.302734375,0.419921875,0.302734375,0.4262771097322305,1.2375852316617966,0.63,0.005,8,3
1,0.54296875,0.318359375,0.54296875,0.318359375,0.49338769416014355,1.1098034406701724,0.6615000000000001,0.0025,8,3
2,0.71484375,0.291015625,0.71484375,0.291015625,0.5504183918237686,1.039797733227412,0.6945750000000002,0.0,8,3
3,0.90625,0.1640625,0.90625,0.1640625,0.6532173578937849,0.7808912520607313,0.7293037500000003,0.0,8,3
4,0.875,0.115234375,0.875,0.115234375,0.8272205467025439,0.6350343550244967,0.7657689375000003,0.0,8,3
5,0.875,0.1767578125,0.875,0.1767578125,0.8489660198489825,0.5585016074279944,0.8040573843750004,0.0,8,3
6,0.94921875,0.005584716796875,0.94921875,0.005584716796875,1.030987024307251,0.4779424158235391,0.8442602535937505,0.0,8,3
7,0.94140625,0.03466796875,0.94140625,0.03466796875,1.1482026030619938,0.35712842519084614,0.886473266273438,0.0,8,3
8,0.9375,0.044677734375,0.9375,0.044677734375,1.2708505739768345,0.3380800038576126,0.93079692958711,0.0,8,3
9,0.88671875,0.15234375,0.88671875,0.15234375,1.3792311151822407,0.3468893642226855,0.9773367760664655,0.0,8,3
10,0.91015625,0.095703125,0.91015625,0.095703125,1.4363529334465663,0.3357395182053248,1.0262036148697888,0.0,8,3
11,0.87890625,0.1533203125,0.87890625,0.1533203125,1.5850364963213603,0.424051895737648,1.0775137956132783,0.0,8,3
12,0.90234375,0.08544921875,0.90234375,0.08544921875,1.8450313558181126,0.5616932089130083,1.1313894853939424,0.0,8,3
13,0.83984375,0.26953125,0.83984375,0.26953125,2.207171325882276,0.8387608552972475,1.1879589596636395,0.0,8,3
14,0.921875,0.1328125,0.921875,0.1328125,2.533283442258835,1.162725808719794,1.2473569076468216,0.0,8,3
