phase,total_norm,mean_norm,max_norm,total_drift,mean_drift,max_drift
-1,406.875,12.71484375,13.0,0.0,0.0,0.0
0,406.9375,12.716796875,13.0,8.4892578125,0.265289306640625,0.30078125
1,406.9375,12.716796875,13.0,12.4375,0.388671875,0.421875
2,407.0,12.71875,13.0,15.390625,0.48095703125,0.53515625
3,407.0625,12.720703125,13.0,18.15625,0.5673828125,0.6328125
4,407.0,12.71875,13.0,21.1328125,0.660400390625,0.7109375
5,407.0625,12.720703125,13.0,23.56640625,0.7364501953125,0.796875
6,407.1875,12.724609375,13.0,25.8359375,0.807373046875,0.89453125
7,407.25,12.7265625,13.0,28.55859375,0.8924560546875,1.0078125
8,407.375,12.73046875,13.0,32.80859375,1.0252685546875,1.1953125
9,407.8125,12.744140625,13.0,36.3046875,1.134521484375,1.359375
10,407.75,12.7421875,13.0,37.37890625,1.1680908203125,1.515625
11,407.8125,12.744140625,13.0,39.07421875,1.2210693359375,1.703125
12,407.9375,12.748046875,13.0,42.80859375,1.3377685546875,2.171875
13,408.0,12.75,13.0,43.5625,1.361328125,2.1875
14,408.0625,12.751953125,13.0,44.87109375,1.4022216796875,2.1875
